product_type,agri_nonagri_type,product_segment,material_group_description,material_code,material_description,uom,price,custom_1,custom_2,custom_3,custom_4,custom_5,material_code_new,REMARKS,CHANGES
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1073,75MM 6KG/CM2 SELFIT,MTR,278.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-6KG,AM1118,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1068,75MM 6KG/CM2 SELFIT (5 MTR),MTR,278.5,PRICE PER MTR,SELFIT,5,NULL,AGRI SELFIT PIPE-6KG,AM1146,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1075,75MM 10KG/CM2 SELFIT,MTR,438,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-10KG,AM1119,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1078,90MM 4KG/CM2 SELFIT (5 MTR),MTR,275.5,PRICE PER MTR,SELFIT,5,NULL,AGRI SELFIT PIPE-4KG,AM1122,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1083,90MM 2.5KG/CM2 SELFIT,MTR,177,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-2.5KG,AM1123,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1084,90MM 4KG/CM2 SELFIT,MTR,275.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-4KG,AM1124,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1085,90MM 6KG/CM2 SELFIT,MTR,401.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-6KG,AM1125,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1087,90MM 10KG/CM2 SELFIT,MTR,621.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-10KG,AM1126,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1091,110MM 6KG/CM2 SELFIT ( 3 MTR),MTR,581,PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-6KG,AM1127,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1095,110MM 2.5KG/CM2 SELFIT (5 MTR),MTR,262.5,PRICE PER MTR,SELFIT,5,NULL,AGRI SELFIT PIPE-2.5KG,AM1128,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1096,110MM 4KG/CM2 SELFIT (5 MTR),MTR,400.5,PRICE PER MTR,SELFIT,5,NULL,AGRI SELFIT PIPE-4KG,AM1129,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1101,110MM 2.5KG/CM2 SELFIT,MTR,262.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-2.5KG,AM1133,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1102,110MM 4KG/CM2 SELFIT,MTR,400.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-4KG,AM1134,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1103,110MM 6KG/CM2 SELFIT,MTR,581,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-6KG,AM1135,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1104,110MM 8KG/CM2 SELFIT,MTR,759,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-8KG,AM1136,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1105,110MM 10KG/CM2 SELFIT,MTR,935.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-10KG,AM1137,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1107,75MM 6KG/CM2 SELFIT (SLOTTED),MTR,325,PRICE PER MTR,SELFIT (SLOTTED),6,NULL,AGRI SELFIT (SLOTTED) PIPE-6KG,AM1138,,
