90 DEG. ELBOW,UH1138,"114.30MM (4"") ELBOW SH-80 (P6)",
90 DEG. ELBOW,UH1139,"168.28MM (6"") ELBOW SH-80 (P4)",
90 DEG. ELBOW,UH1144,"219.08MM (8"") ELBOW SH-80 (P2)",
90 DEG. THREDED ELBOW,US1234,"21.34MM(1/2"")THRD. ELBOW SH80(P405)",
90 DEG. THREDED ELBOW,US1235,"26.67MM(3/4"")THRD. ELBOW SH80(P105)",
90 DEG. THREDED ELBOW,US1236,"33.40MM(1"")THRD. ELBOW SH80(P60)",
90 DEG. THREDED ELBOW,US1237,"42.16MM (11/4"")THRD. ELBOW SH80(P32)",
90 DEG. THREDED ELBOW,US1238,"48.26MM(11/2"")THRD. ELBOW SH80(P24)",
90 DEG. THREDED ELBOW,US1239,"60.32MM(2"")THRD. ELBOW SH80(P14)",
90 DEG. BRASS ELBOW,US1222,"21.34MM(1/2"")BRASS ELBOW SH80(P160)",
90 DEG. BRASS ELBOW,US1223,"26.67MM(3/4"")BRASS ELBOW SH80(P32)",
90 DEG. BRASS ELBOW,US1224,"33.40MM(1"")BRASS ELBOW SH80(P20)",
ELBOW 45 DEG,US1137,"21.34MM(1/2"") UPVC BALL VALVE (P80)",https://drive.google.com/uc?export=view&id=1vNtV_YLrl1AWAF25IkUAW_Vrs3ZkKb8z
ELBOW 45 DEG,US1138,"26.67MM(3/4"") UPVC BALL VALVE (P48)",https://drive.google.com/uc?export=view&id=1vNtV_YLrl1AWAF25IkUAW_Vrs3ZkKb8z
ELBOW 45 DEG,US1139,"33.40MM(1"") UPVC BALL VALVE (P24)",https://drive.google.com/uc?export=view&id=1vNtV_YLrl1AWAF25IkUAW_Vrs3ZkKb8z
ELBOW 45 DEG,US1144,"42.16MM(11/4"") UPVC BALL VALVE (P12)",https://drive.google.com/uc?export=view&id=1vNtV_YLrl1AWAF25IkUAW_Vrs3ZkKb8z
ELBOW 45 DEG,US1145,"48.26MM (11/2"") UPVC BALL VALVE (P8)",https://drive.google.com/uc?export=view&id=1vNtV_YLrl1AWAF25IkUAW_Vrs3ZkKb8z
