SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1123,110MMX45° BEND WITH INT RING (P24),No.s,156.50,PRICE PER NO.,PLAIN BEND - 45 DEG,24,SWR IRR BEND 45° - PLAIN,Material Description is not given in app
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1124,160MMX45° BEND WITH INTEGRATED RING (P8),No.s,373.00,PRICE PER NO.,PLAIN BEND - 45 DEG,8,SWR IRR BEND 45° - PLAIN,Material Description is not given in app
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1125,110MMX87.5°BEND (SIDE DOOR LH) WIR (P11),No.s,256.00,PRICE PER NO.,SIDE DOOR BEND LEFT HAND - 87.5 DEG,11,SWR IRR BEND - SIDE DOOR LEFT HAND,Material Description is not given in app
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1126,110MMX87.5°BEND (SIDE DOOR RH) WIR (P11),No.s,257.50,PRICE PER NO.,SIDE DOOR BEND RIGHT HAND - 87.5 DEG,11,SWR IRR BEND - SIDE DOOR RIGHT HAND,Material Description is not given in app
SWR SELFIT FITTING,PLUMBING & SANITATION,FITTINGS,SWR SELFIT FITTING,SF1111,50MMX87.5° BEND (S/F) G (P100),No.s,31.00,PRICE PER NO.,PLAIN BEND - 87.5 DEG,100,SWR SELFIT BEND 87.5° - PLAIN,Material Description is not given in app
SWR SELFIT FITTING,PLUMBING & SANITATION,FITTINGS,SWR SELFIT FITTING,SF1112,63MMX87.5° BEND (S/F) G (P45),No.s,59.00,PRICE PER NO.,PLAIN BEND - 87.5 DEG,45,SWR SELFIT BEND 87.5° - PLAIN,Material Description is not given in app
SWR SELFIT FITTING,PLUMBING & SANITATION,FITTINGS,SWR SELFIT FITTING,SF1113,75MMX87.5° BEND (S/F) G (P36),No.s,79.50,PRICE PER NO.,PLAIN BEND - 87.5 DEG,36,SWR SELFIT BEND 87.5° - PLAIN,Material Description is not given in app
SWR SELFIT FITTING,PLUMBING & SANITATION,FITTINGS,SWR SELFIT FITTING,SF1114,90MMX87.5° BEND (S/F) G (P25),No.s,125.00,PRICE PER NO.,PLAIN BEND - 87.5 DEG,25,SWR SELFIT BEND 87.5° - PLAIN,Material Description is not given in app
SWR SELFIT FITTING,PLUMBING & SANITATION,FITTINGS,SWR SELFIT FITTING,SF1115,110MMX87.5°BEND (S/F) G (P24),No.s,144.50,PRICE PER NO.,PLAIN BEND - 87.5 DEG,24,SWR SELFIT BEND 87.5° - PLAIN,Material Description is not given in app
SWR SELFIT FITTING,PLUMBING & SANITATION,FITTINGS,SWR SELFIT FITTING,SF1116,160MMX87.5° BEND (S/F) G (P8),No.s,362.00,PRICE PER NO.,PLAIN BEND - 87.5 DEG,8,SWR SELFIT BEND 87.5° - PLAIN,Material Description is not given in app
SWR SELFIT FITTING,PLUMBING & SANITATION,FITTINGS,SWR SELFIT FITTING,SF1117,50MMX87.5° BEND (DOOR) (S/F) G (P80),No.s,39.00,PRICE PER NO.,DOOR BEND - 87.5 DEG,80,SWR SELFIT BEND 87.5° - DOOR,Material Description is not given in app
SWR SELFIT FITTING,PLUMBING & SANITATION,FITTINGS,SWR SELFIT FITTING,SF1118,63MMX87.5° BEND (DOOR) (S/F) G (P35),No.s,102.00,PRICE PER NO.,DOOR BEND - 87.5 DEG,35,SWR SELFIT BEND 87.5° - DOOR,Material Description is not given in app
SWR SELFIT FITTING,PLUMBING & SANITATION,FITTINGS,SWR SELFIT FITTING,SF1119,75MMX87.5° BEND (DOOR) (S/F) G (P25),No.s,106.00,PRICE PER NO.,DOOR BEND - 87.5 DEG,25,SWR SELFIT BEND 87.5° - DOOR,Material Description is not given in app
