Main Category,"AGRI/
PLUMBING & SANITATION",Product Segment,Material Group Description,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder,Sales Observations,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,UH1149,"219.08MM (8""X45°) ELBOW SH-80 (P2)",No.s,7009.00,PRICE PER NO.,ELBOW 45 DEG,2,ASTM ELBOW 45°,Material Description is not given in app,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1489,"21.34MM (1/2"")THRD. TEE SH80(P110)",No.s,19.00,PRICE PER NO.,THREADED TEE,110,ASTM TEE - THREADED,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1499,"26.67MM (3/4"") THRD. TEE SH-80 (P72)",No.s,27.50,PRICE PER NO.,THREADED TEE,72,ASTM TEE - THREADED,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1555,"33.40MM(1"")THRD. TEE SH80(P45)",No.s,44.50,PRICE PER NO.,THREADED TEE,45,ASTM TEE - THREADED,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1556,"42.16MM (11/4"") THRD. TEE SH-80 (P24)",No.s,65.00,PRICE PER NO.,THREADED TEE,26,ASTM TEE - THREADED,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1557,"48.26MM(11/2"")THRD. TEE SH80(P16)",No.s,88.50,PRICE PER NO.,THREADED TEE,16,ASTM TEE - THREADED,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1558,"60.32MM(2"")THRD. TEE SH80(P-12)",No.s,136.50,PRICE PER NO.,THREADED TEE,12,ASTM TEE - THREADED,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US2299,"21.34MM (1/2"") THREADED END PLUG (P500)",No.s,12.00,PRICE PER NO.,THREADED END PLUG,500,ASTM THREADED END PLUG,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US2333,"26.67MM (3/4"") THREADED END PLUG (P240)",No.s,12.50,PRICE PER NO.,THREADED END PLUG,240,ASTM THREADED END PLUG,Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1255,"21.34MM(1/2"")F.T.A. SH80(P490)",No.s,9.50,PRICE PER NO.,FEMAL THREADED ADAPTOR (F.T.A.),490,ASTM FEMALE THREADED ADAPTER (F.T.A.),Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1256,"26.67MM(3/4"")F.T.A. SH80(P315)",No.s,14.00,PRICE PER NO.,FEMAL THREADED ADAPTOR (F.T.A.),315,ASTM FEMALE THREADED ADAPTER (F.T.A.),Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1257,"33.40MM(1"")F.T.A. SH80(P210)",No.s,21.50,PRICE PER NO.,FEMAL THREADED ADAPTOR (F.T.A.),210,ASTM FEMALE THREADED ADAPTER (F.T.A.),Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1258,"42.16MM(11/4"")F.T.A. SH80 (P128)",No.s,32.00,PRICE PER NO.,FEMAL THREADED ADAPTOR (F.T.A.),128,ASTM FEMALE THREADED ADAPTER (F.T.A.),Spelling Mistake,
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1259,"48.26MM(11/2"")F.T.A. SH80 (P96)",No.s,39.50,PRICE PER NO.,FEMAL THREADED ADAPTOR (F.T.A.),96,ASTM FEMALE THREADED ADAPTER (F.T.A.),Spelling Mistake,
