Main Category,"Agri/
Non Agri",Product Segment,Material Group Description,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1278,140MM 2.5KG/CM2 SELFIT (3 MTR),MTR,417.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-2.5KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1335,140MM 8KG/CM2 SELFIT (3 MTR),MTR,1249.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-8KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1345,160MM 10KG/CM2 SLEFIT (3 MTR),MTR,1957.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-10KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1356,160MM 12.5KG/CM2 SELFIT (3 MTR),MTR,2395.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-12.5KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1369,160MM 12.5KG/CM2 SELFIT,MTR,2395.50,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-12.5KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1346,180MM 10KG/CM2 SELFIT (3 MTR),MTR,2495.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-10KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1279,180MM 2.5KG/CM2 SELFIT (3 MTR),MTR,701.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-2.5KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1299,180MM 4KG/CM2 SELFIT (3 MTR),MTR,1104.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-4KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1336,160MM 8KG/CM2 SELFIT PIPE (3 MTR),MTR,1624.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-8KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1347,200MM 10KG/CM2 SELFIT (3 MTR),MTR,3083.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-10KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1337,200MM 8KG/CM2 SELFIT (3MTR),MTR,2524.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-8KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1348,250MM 10KG/CM2 SELFIT (3 MTR),MTR,5016.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-10KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1288,250MM 2.5KG/CM2 SELFIT (3 MTR),MTR,1383.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-2.5KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1333,250MM 6KG/CM2 SELFIT (3 MTR),MTR,3171.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-6KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1338,250MM 8KG/CM2 SELFIT (3 MTR),MTR,4126.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-8KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1349,315MM 10KG/CM2 SELFIT (3 MTR),MTR,7968.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-10KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1289,315MM 2.5KG/CM2 SELFIT (3 MTR),MTR,2227.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-2.5KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1334,315MM 6KG/CM2 SELFIT (3 MTR),MTR,5058.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-6KG
AGRI HIGH DIA PIPE,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1339,315MM 8KG/CM2 SELFIT (3 MTR),MTR,6499.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-8KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1223,63MM 10KG/CM2 SELFIT (5 MTR),MTR,307.50,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-10KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1237,63MM 12.5KG/CM2 SELFIT,MTR,381.50,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-12.5KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1168,63MM 12.5KG/CM2 SELFIT (3 MTR),MTR,381.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-12.5KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1227,63MM 12.5KG/CM2 SELFIT (5 MTR),MTR,381.50,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-12.5KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1234,63MM 8KG/CM2 SELFIT,MTR,257.00,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-8KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1159,63MM 8KG/CM2 SELFIT (3 MTR),MTR,257.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-8KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1188,63MM 8KG/CM2 SELFIT (5 MTR),MTR,257.00,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-8KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1245,75MM 4KG/CM2 SELFIT (3 MTR),MTR,197.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-4KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1224,75MM 10KG/CM2 SELFIT (5 MTR),MTR,438.00,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-10KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1238,75MM 12.5KG/CM2 SELFIT,MTR,534.00,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-12.5KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1228,75MM 12.5KG/CM2 SELFIT (5 MTR),MTR,534.00,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-12.5KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1235,75MM 8KG/CM2 SELFIT,MTR,353.50,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-8KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1189,75MM 8KG/CM2 SELFIT (5 MTR),MTR,353.50,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-8KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1225,90MM 10KG/CM2 SELFIT (5 MTR),MTR,621.50,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-10KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1239,90MM 12.5KG/CM2 SELFIT,MTR,756.00,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-12.5KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1229,90MM 12.5KG/CM2 SELFIT (5 MTR),MTR,756.00,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-12.5KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1177,90MM 2.5KG/CM2 SELFIT (5 MTR),MTR,177.00,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-2.5KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1178,90MM 6KG/CM2 SELFIT (5 MTR),MTR,401.50,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-6KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1236,90MM 8KG/CM2 SELFIT,MTR,509.00,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-8KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1199,90MM 8KG/CM2 SELFIT (5 MTR),MTR,509.00,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-8KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1156,110MM 2.5KG/CM2 SELFIT,MTR,262.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-2.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1257,110MM 12.5KG/CM2 RINGFIT,MTR,1173.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-12.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1247,125MM 10KG/CM2 RINGFIT,MTR,1229.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-10KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1258,125MM 12.5KG/CM2 RINGFIT,MTR,1491.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-12.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1234,125MM 4KG/CM2 RINGFIT,MTR,542.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-4KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1238,125MM 8KG/CM2 RINGFIT,MTR,1010.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-8KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1259,140MM 12.5KG/CM2 RINGFIT,MTR,1879.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-12.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1278,140MM 8KG/CM2 RINGFIT,MTR,1279.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-8KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1248,180MM 10KG/CM2 RINGFIT,MTR,2572.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-10KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1224,180MM 2.5KG/CM2 RINGFIT,MTR,723.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1239,180MM 8KG/CM2 RINGFIT,MTR,2106.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-8KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1225,200MM 2.5KG/CM2 RINGFIT,MTR,887.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1226,225MM 2.5KG/CM2 RINGFIT,MTR,1180.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1244,225MM 8KG/CM2 RINGFIT,MTR,3392.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-8KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1227,250MM 2.5KG/CM2 RINGFIT,MTR,1420.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1245,250MM 8KG/CM2 RINGFIT,MTR,4240.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-8KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1228,280MM 2.5KG/CM2 RINGFIT,MTR,1809.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1246,280MM 8KG/CM2 RINGFIT,MTR,5250.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-8KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1229,315MM 2.5KG/CM2 RINGFIT,MTR,2275.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1269,355MM 10KG/CM2 RINGFIT,MTR,10274.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-10KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1233,355MM 2.5KG/CM2 RINGFIT,MTR,2862.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1266,355MM 4KG/CM2 RINGFIT,MTR,4445.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-4KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1267,355MM 8KG/CM2 RINGFIT,MTR,8451.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-8KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1277,400MM 10KG/CM2 RINGFIT,MTR,13214.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-10KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1268,400MM 8KG/CM2 RINGFIT,MTR,10868.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-8KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1249,63MM 12.5KG/CM2 RINGFIT,MTR,384.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-12.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1235,63MM 8KG/CM2 RINGFIT,MTR,261.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-8KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1255,75MM 12.5KG/CM2 RINGFIT,MTR,544.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-12.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1236,75MM 8KG/CM2 RINGFIT,MTR,376.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-8KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1256,90MM 12.5KG/CM2 RINGFIT,MTR,777.50,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-12.5KG
AGRI RINGFIT PIPE,AGRI,PIPE,AGRI RINGFIT PIPE,AR1237,90MM 8KG/CM2 RINGFIT,MTR,523.00,Price Per Meter,RINGFIT,6,AGRI RINGFIT PIPE-8KG
SWR SELFIT PIPE,NON AGRI,PIPE,SWR SELFIT PIPE,SP1349,110MM TYPE B SELFIT G (5 MTR),MTR,531.50,Price Per Meter,TYPE B SELFIT,5,SWR SELFIT TYPE B PIPES
ASTM PIPE,NON AGRI,PIPE,ASTM PIPE,UP1288,"75.30MM (2 1/2"") SH-40 THRD (3 MTR)",MTR,585.00,Price Per Meter,SH-40 THREADED,5,ASTM PLUMBING PIPE-SCHEDULE  40-THREADED
ASTM PIPE,NON AGRI,PIPE,ASTM PIPE,UP1289,"219.08MM (8"") SH-80 PLAIN (6 MTR)",MTR,4301.50,Price Per Meter,SH-80 PLAIN,1,ASTM PLUMBING PIPE-SCHEDULE 80
CASING PIPE,AGRI,PIPE,CASING PIPE,CA1458,40 RS (0.5MM) SLOTTED PIPE (1.82 MTR),MTR,282.00,Price Per Meter,RS (SLOTTED),1.82,CASING RS RIBBED SCREEN PIPES  0.5MM SLOTTED
CASING PIPE,AGRI,PIPE,CASING PIPE,CA1459,40 RS (0.5MM) SLOTTED PIPE,MTR,282.00,Price Per Meter,RS (SLOTTED),3,CASING RS RIBBED SCREEN PIPES  0.5MM SLOTTED
CASING PIPE,AGRI,PIPE,CASING PIPE,CA1466,50 RS (0.5MM) SLOTTED PIPE (1.82 MTR),MTR,401.50,Price Per Meter,RS (SLOTTED),1.82,CASING RS RIBBED SCREEN PIPES  0.5MM SLOTTED
CASING PIPE,AGRI,PIPE,CASING PIPE,CA1467,50 RS (0.5MM) SLOTTED PIPE,MTR,401.50,Price Per Meter,RS (SLOTTED),3,CASING RS RIBBED SCREEN PIPES  0.5MM SLOTTED
CASING PIPE,AGRI,PIPE,CASING PIPE,CA1468,80 RS (0.5MM) SLOTTED PIPE,MTR,564.00,Price Per Meter,RS (SLOTTED),3,CASING RS RIBBED SCREEN PIPES  0.5MM SLOTTED
CASING PIPE,AGRI,PIPE,CASING PIPE,CA1477,213 CS,MTR,2748.50,Price Per Meter,CS,3,CASING CS PLAIN PIPES NON IS
CASING PIPE,AGRI,PIPE,CASING PIPE,CA1469,213 CS (2.9 MTR),MTR,2748.50,Price Per Meter,CS,2.9,CASING CS PLAIN PIPES NON IS
CASING PIPE,AGRI,PIPE,CASING PIPE,CA1478,225 CS (2.9 MTR),MTR,3132.50,Price Per Meter,CS,2.9,CASING CS PLAIN PIPES NON IS
CASING PIPE,AGRI,PIPE,CASING PIPE,CA1479,240 CS,MTR,3495.50,Price Per Meter,CS,3,CASING CS PLAIN PIPES NON IS
