Main Category,"AGRI/
PLUMBING & SANITATION",Product Segment,Material Group Description,Material Code ,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder,Sales Observations (Sachin)
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1235,1074,75MM 8KG/CM2 SELFIT,MTR,353.50,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-8KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1189,1069,75MM 8KG/CM2 SELFIT (5 MTR),MTR,353.50,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-8KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1225,1081,90MM 10KG/CM2 SELFIT (5 MTR),MTR,621.50,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-10KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1239,1088,90MM 12.5KG/CM2 SELFIT,MTR,756.00,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-12.5KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1229,1082,90MM 12.5KG/CM2 SELFIT (5 MTR),MTR,756.00,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-12.5KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1177,1077,90MM 2.5KG/CM2 SELFIT (5 MTR),MTR,177.00,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-2.5KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1178,1079,90MM 6KG/CM2 SELFIT (5 MTR),MTR,401.50,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-6KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1236,1086,90MM 8KG/CM2 SELFIT,MTR,509.00,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-8KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1199,1080,90MM 8KG/CM2 SELFIT (5 MTR),MTR,509.00,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-8KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1156,1089,110MM 2.5KG/CM2 SELFIT,MTR,262.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-2.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1257,1234,110MM 12.5KG/CM2 RINGFIT,MTR,1173.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-12.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1247,1238,125MM 10KG/CM2 RINGFIT,MTR,1229.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-10KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1258,1239,125MM 12.5KG/CM2 RINGFIT,MTR,1491.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-12.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1234,1235,125MM 4KG/CM2 RINGFIT,MTR,542.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-4KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1238,1237,125MM 8KG/CM2 RINGFIT,MTR,1010.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-8KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1259,1244,140MM 12.5KG/CM2 RINGFIT,MTR,1879.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-12.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1278,1242,140MM 8KG/CM2 RINGFIT,MTR,1279.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-8KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1248,1254,180MM 10KG/CM2 RINGFIT,MTR,2572.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-10KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1224,1250,180MM 2.5KG/CM2 RINGFIT,MTR,723.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1239,1253,180MM 8KG/CM2 RINGFIT,MTR,2106.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-8KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1225,1255,200MM 2.5KG/CM2 RINGFIT,MTR,887.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1226,1260,225MM 2.5KG/CM2 RINGFIT,MTR,1180.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1244,1263,225MM 8KG/CM2 RINGFIT,MTR,3392.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-8KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1227,1265,250MM 2.5KG/CM2 RINGFIT,MTR,1420.50,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-2.5KG,Changes
AGRI RINGFIT PIPE,AGRI,PIPES,AGRI RINGFIT PIPE,AR1245,1268,250MM 8KG/CM2 RINGFIT,MTR,4240.00,PRICE PER MTR,RINGFIT,6,AGRI RINGFIT PIPE-8KG,Changes
